num_lectures,price,days_since_published,content_duration
19,200,2047,1.5
13,20,3044,2.0
114,110,2294,6.0
11,50,2019,1.0
40,200,2631,5.5
65,200,2190,4.5
9,20,2481,1.5
27,175,2171,2.5
26,125,2812,1.5
13,0,1947,0.5166666666666666
34,110,2232,5.5
46,20,3127,5.0
12,200,2166,1.0
53,50,3134,2.5
35,200,2210,1.5
19,50,3138,2.0
11,0,2000,1.5
24,0,3114,3.5
11,20,2344,1.0
8,0,2416,0.7333333333333333
15,0,2425,1.0
10,200,1983,1.0
29,20,2917,3.0
19,0,2088,5.0
24,45,2676,5.5
52,20,2299,4.0
10,25,3824,2.0
48,60,2459,3.0
16,50,2832,2.5
16,25,2744,1.5
13,0,2850,1.0
9,195,2014,0.5
39,170,2416,6.5
17,50,2302,2.0
34,20,2075,1.0
34,30,1959,4.0
20,95,1949,2.0
145,0,2246,8.5
131,50,2916,8.0
18,45,2635,1.0
16,40,3196,4.0
395,180,2768,33.0
10,45,2571,1.5
44,200,2843,4.0
15,20,2139,1.5
70,40,2323,5.0
25,95,2411,1.5
7,35,2218,0.55
17,20,2540,2.0
14,40,2404,1.5
12,20,2978,3.0
13,25,2810,1.0
9,20,2047,1.0
19,0,2750,3.0
12,200,2046,0.6
5,0,2790,1.0
70,50,1956,10.5
90,55,3020,2.5
19,85,2102,2.5
44,50,2944,5.5
70,95,2589,13.5
239,95,2310,25.5
11,20,2350,1.0
32,55,2430,6.0
61,95,2250,2.5
23,70,2071,2.5
12,35,2444,1.0
15,25,3264,1.5
106,50,2748,6.5
82,150,2308,8.0
82,50,2278,4.0
19,20,2172,2.5
59,20,3137,8.0
13,20,2350,1.0
11,25,2245,1.5
17,20,3080,1.5
103,175,2627,13.0
27,0,2251,2.0
10,0,2790,0.5333333333333333
20,0,2836,1.5
16,200,2707,2.5
58,55,2788,4.5
32,40,2222,5.0
16,20,3199,1.0
12,20,3311,2.0
11,20,2913,0.6166666666666667
77,75,2370,6.0
32,95,1974,1.5
27,50,2796,5.0
46,30,2438,9.0
9,20,3113,0.6166666666666667
31,20,2422,1.5
30,200,2205,3.0
16,50,2454,1.0
8,35,2628,0.6166666666666667
17,50,3379,8.0
113,85,2005,18.5
30,70,2545,1.0
63,75,2691,3.5
13,20,2630,0.7
25,50,2340,2.5
33,20,3152,70.0
60,50,2253,7.0
22,70,2554,5.0
33,75,3202,4.5
38,30,3166,12.0
27,30,2351,2.0
6,60,3522,1.0
93,170,2186,4.5
64,20,2873,7.0
36,120,2572,4.0
14,95,2603,1.0
34,20,2715,6.5
9,25,2533,1.0
36,60,2497,2.0
16,20,2502,2.0
62,50,2180,1.5
15,50,3155,2.5
14,20,2701,2.0
27,40,2658,3.5
71,120,2264,14.0
11,200,2610,2.0
202,100,2033,16.0
78,100,2168,6.5
8,45,2544,1.0
8,50,1948,1.5
23,30,2718,3.0
16,30,2568,1.5
25,20,2379,4.0
8,25,2148,1.5
18,0,2018,1.0
50,195,2341,6.0
13,20,3023,1.5
55,175,2951,7.0
11,0,2743,0.7333333333333333
23,20,2277,1.5
94,200,1978,17.5
6,20,3253,2.0
22,20,3248,1.5
26,20,2230,3.0
48,50,2586,3.0
119,140,2416,12.0
23,20,2398,1.0
46,190,1978,5.0
22,0,2474,2.0
46,30,3391,11.5
321,50,2126,3.5
17,150,2399,1.5
53,200,2014,6.5
34,95,2383,3.0
69,0,2020,9.0
26,200,2161,2.0
23,20,3813,3.0
11,25,1978,0.65
61,50,2389,8.0
62,150,2365,12.5
40,125,3251,12.5
35,0,3382,2.5
21,20,2470,1.0
42,50,2185,1.0
30,40,2003,2.0
22,20,2791,2.5
44,30,2614,10.5
14,0,3105,1.5
23,40,2418,2.5
19,20,3383,1.0
15,100,2431,2.0
18,195,2168,1.0
24,20,2344,2.0
16,20,2552,1.5
18,0,2438,2.0
5,30,2373,1.0
48,175,2012,7.0
63,100,2504,11.0
12,25,2771,0.6666666666666666
23,35,2442,3.0
110,25,2536,7.5
24,25,2340,2.0
115,65,2090,9.5
13,20,2246,1.5
15,30,2088,2.0
20,20,2865,1.0
37,95,2509,3.0
8,35,2215,1.0
13,20,2459,0.5333333333333333
178,195,2137,13.0
39,80,2552,3.0
68,150,2627,5.5
37,40,2637,3.5
14,30,2081,2.5
30,70,2445,4.0
35,100,2422,3.5
122,0,2441,21.0
11,20,2650,1.0
87,65,1942,5.0
32,20,3644,5.0
30,0,2565,1.5
129,0,2872,20.5
54,200,2175,4.0
17,0,2892,1.5
30,20,2067,2.0
14,40,2372,1.0
112,20,2182,13.5
9,25,2396,2.0
41,40,2383,6.0
17,20,2597,1.0
12,20,3198,1.5
56,195,2372,7.0
33,40,2265,2.5
17,20,2638,1.5
125,200,2088,14.0
51,0,2270,2.0
